posLat,posLon,time,map_via,map_bairro,map_quadra,map_Cat_via,map_Sit_pav,map_Sit_urb,map_Cal_Pass,map_Ilu_Pub,map_Arb,map_Esgo_Sani,ident_Sex_ide,ident_Natura,ident_Fax_Eta,ident_Et_Raça,ident_Est_Civ,ident_Est_Esc,ident_Def_Perm,ident_Res,ident_Ani_Est,ident_Pos_Imo,ident_Atv_trab,ident_Cid_Trab,ident_Rend_Ind,inf_Not_Cid,inf_Loc_Trav,inf_Pri_Bair,inf_Cuid_Saud,inf_Loc_Laz,inf_Res_Dom,inf_Dei_Res,inf_Fre_Res,inf_Fre_Var,inf_Ben_Arb,inf_Ori_Agu,inf_Falt_Agu,inf_Mei_Tran,inf_Sat_Vid,inf_Sat_Gov,map_Sis_Dre
-17.80289,-50.90533,2022-11-29 10:35:28.348108,Cláudio P. Braga,Centro,33,"coletora, 40km/h",Asfalto Baixo Conforto,Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Feminino,Município de outro Estado,60 ou mais,Preta,Viúvo(a),Primário/Fundamental I (1º ao 5º anos) Completo,Não,Sozinho(a),Não,Própia,Aposentado,Desempregado,Auxílio/Seguro/Benefício governo,Carro de Som|Rádio|Televisão,Feira/Comércio|Igreja/Culto|Praças/Parques,emprego|Reciclagem|Turismo,Exames/Remédio,Lago/Rio|Parque/Praça|Pista de Caminhada,Não separa|Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Embeleza a cidade|Sombra,Torneira/Rede pública,Nunca falta,Carro,5 - muito satisfeito,5 - muito satisfeito,
-17.80289,-50.90533,2022-11-29 10:37:45.600358,Cláudio P. Braga,Centro,1,"coletora, 40km/h",Asfalto Baixo Conforto,Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Outro município de Goiás,30 a 39,Parda,Solteiro(a),Científico/Médio,Não,Família,Cachorro|Gato,Alugada,Agricultura/Pecuária,Santo Antônio da Barra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Redes Sociais,Bares/Restaurantes|Casa Família/Amigos|Feira/Comércio,emprego|Faculdade|Pavimentação,Exames/Remédio,Parque/Praça|Quadra de Esportes,Separa seco e orgânico,Entrega direto na Coop Recicla (Cooperativa de Reciclagem do Sudoeste Goiano).,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Carro,3 - indiferente/não sabe,2 - insatisfeito,
-17.80289,-50.90533,2022-11-29 10:39:59.907804,Cláudio P. Braga ,Centro ,12,"coletora, 40km/h",Asfaltada,Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Santo Antônio da Barra,30 a 39,Parda,Solteiro(a),Primário/Fundamental I (1º ao 5º anos) Completo,Fala|Mobilidade,Sozinho(a),Cachorro,Própia,Aposentado,Desempregado,Auxílio/Seguro/Benefício governo,Carro de Som,Feira/Comércio|Igreja/Culto|Praças/Parques,Cultura/Eventos|emprego|Reciclagem,Exames/Remédio,Cómercio|Parque/Praça|Outro,Não separa|Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Embeleza a cidade,Torneira/Rede pública,Nunca falta,Carro,4 - satisfeito,4 - satisfeito,
-17.80289,-50.90533,2022-11-29 10:41:57.672006,Cláudio P. Braga,Centro ,1,"local, 30km/h",Asfalto Baixo Conforto,Placa Trânsito|Sinalização Tátil,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Santo Antônio da Barra,60 ou mais,Parda,Casado(a)/União Estável,Ginásio/Fundamental II (6º ao 9º anos) Completo,Não,Família,Cachorro,Própia,Aposentado,Desempregado,Auxílio/Seguro/Benefício governo,Carro de Som,Feira/Comércio|Lago/Rio|Praças/Parques,emprego|Faculdade|Outros,Exames/Remédio,Cómercio|Lago/Rio|Parque/Praça,Não separa|Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Carro,4 - satisfeito,4 - satisfeito,
-17.80289,-50.90533,2022-11-29 10:43:52.117158,Cláudio P. Braga,Centro ,41,"coletora, 40km/h",Asfalto Baixo Conforto,Faixa de Pedestre,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Feminino,Outro município de Goiás,50 a 59,Branca,Solteiro(a),Graduação,Não,Família,Cachorro|Gato,Própia,Funcionário Público,Santo Antônio da Barra,"De 3 até 5 (R$2.424,00 até 6.060,00)",Carro de Som|Rádio|Redes Sociais,Casa Família/Amigos|Feira/Comércio|Lago/Rio,emprego|Turismo|Outros,Exames/Remédio,Academia pública|Ciclofaixas|Parque/Praça,Não separa,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Qualidade de vida|Sombra,Torneira/Rede pública,Nunca falta,Bicicleta,4 - satisfeito,5 - muito satisfeito,
-17.80289,-50.90533,2022-11-29 10:46:21.554933,Cláudio P. Braga,Centro,41,"coletora, 40km/h",Asfalto Baixo Conforto,Placa Trânsito,Obstáculo|Terra/Cascalho,Sim,Sim,Sem Sistema,Feminino,Outro município de Goiás,18 a 29,Parda,Solteiro(a),Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Cachorro|Pássaro,Alugada,Estudante,Santo Antônio da Barra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Redes Sociais,Escola|Lago/Rio|Praças/Parques,emprego|Faculdade|Segurança,Exames/Remédio,Parque/Praça|Quadra de Esportes|Outro,Não separa|Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Sombra,Torneira/Rede pública,Nunca falta,Bicicleta|Carro,4 - satisfeito,3 - indiferente/não sabe,
-17.80289,-50.90533,2022-11-29 10:49:26.602869,Cláudio P. Braga ,Centro,12,"coletora, 40km/h",Asfalto Baixo Conforto,Placa Trânsito,Calçamento Baixo Conforto|Terra/Cascalho,Sim,Sim,Sem Sistema,Feminino,Outro município de Goiás,30 a 39,Amarela,Outra,Científico/Médio,Não,Família,Não,Própia,Desempregado,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Redes Sociais,Casa Família/Amigos|Escola|Feira/Comércio,emprego|Reciclagem|Segurança,Alimentação balanceada|Caminha/Corre|Exames/Remédio,Academia pública|Cómercio|Pista de Caminhada,Não separa|Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Embeleza a cidade|Sombra,Torneira/Rede pública,Nunca falta,Bicicleta|Carro,4 - satisfeito,4 - satisfeito,
-17.80289,-50.90533,2022-11-29 10:51:31.251838,Cláudio P. Braga,Centro ,9,"coletora, 40km/h",Asfalto Baixo Conforto,Placa Trânsito,Obstáculo|Terra/Cascalho,Sim,Sim|Canteiro Inadequado,Sem Sistema,Masculino,Município de outro Estado,60 ou mais,Branca,Casado(a)/União Estável,Científico/Médio,Não,Família,Cachorro,Financiada,Agricultura/Pecuária,Santo Antônio da Barra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Carro de Som|Televisão,Bares/Restaurantes|Casa Família/Amigos|Igreja/Culto,Arborização|Cresche|Escola/Cursos|Hospital,Exames/Remédio,Pista de Caminhada,Não separa|Calçada/Lixeira,Entrega direto na Coop Recicla (Cooperativa de Reciclagem do Sudoeste Goiano).,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Embeleza a cidade|Sombra|Valoriza o imóvel,Poço Artesiano,Nunca falta,Carro,5 - muito satisfeito,5 - muito satisfeito,
-17.80289,-50.90533,2022-11-29 10:54:34.852481,Cláudio P. Braga,Centro,12,"coletora, 40km/h",Asfaltada,Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Outro município de Goiás,60 ou mais,Parda,Casado(a)/União Estável,Analfabeto(a),Não,Família,Gato,Própia,Funcionário Público,Santo Antônio da Barra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Televisão,Casa Família/Amigos|Igreja/Culto|Praças/Parques,Cultura/Eventos|emprego|Trânsito,Exames/Remédio,Ciclofaixas|Cómercio|Parque/Praça,Não separa|Vende/Doa material,No PEV (Ponto de Entrega Voluntária) instalado próximo da residência.,3x na semana ou mais,3x na semana ou mais,Embeleza a cidade|Sombra,Poço Artesiano,3x na semana ou mais,Bicicleta|Motocicleta,5 - muito satisfeito,5 - muito satisfeito,
-17.55929150444831,-50.63515682685838,2022-11-29 10:56:45.854582,Jerônimo Carlos Araújo ,Centro,38,"local, 30km/h",Asfalto Baixo Conforto,Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Município de outro Estado,60 ou mais,Branca,Casado(a)/União Estável,Analfabeto(a),Não,Família,Não,Própia,Aposentado,Desempregado,Auxílio/Seguro/Benefício governo,Televisão,Casa Família/Amigos|Igreja/Culto|Outros,Segurança|Saneamento|Outros,Exames/Remédio,Ciclofaixas|Cómercio|Outro,Não separa|Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Bicicleta|Motocicleta,4 - satisfeito,5 - muito satisfeito,
-17.55929150444831,-50.63515682685838,2022-11-29 10:58:45.538450,Jerônimo Carlos Araújo ,Centro,38,"coletora, 40km/h",Asfalto Baixo Conforto,Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Município de outro Estado,40 a 49,Parda,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Cachorro,Própia,Informal/Bico,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Televisão,Casa Família/Amigos,Esporte/Lazer/Recreação|Pavimentação|Segurança,Exames/Remédio,Cómercio|Parque/Praça,Não separa,No PEV (Ponto de Entrega Voluntária) instalado próximo da residência.,3x na semana ou mais,3x na semana ou mais,Embeleza a cidade|Qualidade de vida|Sombra,Torneira/Rede pública,Nunca falta,Carro,5 - muito satisfeito,5 - muito satisfeito,
-17.55929150444831,-50.63515682685838,2022-11-29 11:01:18.748178,Jerônimo Carlos Araújo ,Centro ,38,"coletora, 40km/h",Asfalto Baixo Conforto,Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Outro município de Goiás,60 ou mais,Parda,Solteiro(a),Primário/Fundamental I (1º ao 5º anos) Completo,Não,Parentes,Cachorro,Própia,Aposentado,Desempregado,Auxílio/Seguro/Benefício governo,Carro de Som,Feira/Comércio|Lago/Rio|Outros,Esporte/Lazer/Recreação|Trânsito|Outros,Exames/Remédio,Lago/Rio|Pista de Caminhada|Quadra de Esportes,Não separa|Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Bicicleta,2 - insatisfeito,2 - insatisfeito,
-17.557997163884068,-50.635302526613145,2022-11-29 10:16:18.170583,rua Joao p. Nascimento,centro,08,"local, 30km/h",Asfaltada,Horizontal/Chão|logradouro/Rua,Calçamento,Sim,Sim|Canteiro Inadequado,Sem Sistema,Masculino,Outro município de Goiás,30 a 39,Parda,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Cachorro,Alugada,Informal/Bico,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Redes Sociais,Casa Família/Amigos|Igreja/Culto|Outros,emprego|Hospital|Posto de Saúde,Não Cuida,Outro,Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Carro,4 - satisfeito,3 - indiferente/não sabe,Canteiro Inadequado
-17.557997163884068,-50.635302526613145,2022-11-29 10:18:52.657984,rua Joao P Nascimento,centro,40,"local, 30km/h",Asfaltada,Horizontal/Chão|Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Feminino,Município de outro Estado,60 ou mais,Parda,Viúvo(a),Científico/Médio,Não,Sozinho(a),Gato,Própia,Funcionário Público,Santo Antônio da Barra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Rádio|Redes Sociais,Academia|Escola|Igreja/Culto,Hospital|Ônibus|Segurança,Alimentação balanceada|Caminha/Corre,Academia pública|Parque/Praça|Quadra de Esportes,Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Sombra,Torneira/Rede pública,Nunca falta,A pé,5 - muito satisfeito,5 - muito satisfeito,Canteiro Inadequado
-17.562637148100563,-50.64168555481012,2022-11-29 10:21:10.326591,rua 04,palmito ,62,"local, 30km/h",Asfaltada,Horizontal/Chão|Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Santo Antônio da Barra,18 a 29,Preta,Solteiro(a),Ginásio/Fundamental II (6º ao 9º anos) Completo,Não,Família,Não,Alugada,Indústria/Usina,Outra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Redes Sociais,Casa Família/Amigos|Feira/Comércio|Shows,Segurança|Outros,Alimentação balanceada|Bebe água,Cómercio|Parque/Praça|Quadra de Esportes,Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Carro,5 - muito satisfeito,4 - satisfeito,Canteiro Inadequado
-17.562938990263042,-50.64356113995417,2022-11-29 10:23:06.196119,rua 01,palmito,62,"local, 30km/h",Asfaltada,Horizontal/Chão,Calçamento,Sim,Sim,Sem Sistema,Feminino,Outro município de Goiás,18 a 29,Parda,Solteiro(a),Científico/Médio,Não,Família,Cachorro,Alugada,Funcionário Público,Santo Antônio da Barra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Redes Sociais,Casa Família/Amigos|Outros,Ação Social|Praça|Trânsito,Alimentação balanceada,Cómercio|Pista de Caminhada|Outro,Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco,Torneira/Rede pública,Nunca falta,Bicicleta,5 - muito satisfeito,5 - muito satisfeito,Canteiro Inadequado
-17.562938990263042,-50.64356113995417,2022-11-29 10:25:11.007559,rua 1,palmito,05,"local, 30km/h",Asfaltada,Horizontal/Chão,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Feminino,Município de outro Estado,50 a 59,Preta,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Cachorro,Própia,Comércio/Prestação de serviços/Construção Civil,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Rádio|Whatsapp,Casa Família/Amigos|Outros,Ação Social|Outros,Alimentação balanceada,Pista de Caminhada|Outro,Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Bicicleta,5 - muito satisfeito,5 - muito satisfeito,Canteiro Inadequado
-17.562637148100563,-50.64168555481012,2022-11-29 10:27:48.023675,ru 04,palmito,62,"local, 30km/h",Asfaltada,Horizontal/Chão|Placa Trânsito,Calçamento Baixo Conforto,Sim,Sim,Sem Sistema,Masculino,Santo Antônio da Barra,60 ou mais,Preta,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Cachorro|Gato,Própia,Aposentado,Desempregado,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Redes Sociais,Outros,Ação Social|Esporte/Lazer/Recreação|Ônibus,Bebe água|Caminha/Corre,Pista de Caminhada|Outro,Queima,Não pretende separar o resíduo.,Não tem coleta,Não tem coleta,Sombra,Poço Artesiano,Nunca falta,Carro,3 - indiferente/não sabe,4 - satisfeito,Canteiro Inadequado
-17.562637148100563,-50.64168555481012,2022-11-29 10:29:40.729413,rua 04,palmito,62,"local, 30km/h",Asfaltada,Horizontal/Chão|Placa Trânsito,Calçamento,Sim,Sim,Sem Sistema,Masculino,Município de outro Estado,60 ou mais,Preta,Solteiro(a),Analfabeto(a),Audição,Sozinho(a),Cachorro,Própia,Desempregado,Desempregado,"Menos de 1 salário mínimo (até R$ 1.212,00)",Rádio,Outros,emprego|Hospital|Praça,Exames/Remédio,Outro,Separa seco e orgânico,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Bicicleta,4 - satisfeito,4 - satisfeito,Canteiro Inadequado
-17.56270516034154,-50.64231117539021,2022-11-29 10:31:44.765972,rua 3,palmito,70,"local, 30km/h",Asfaltada,Horizontal/Chão|Placa Trânsito,Calçamento,Sim,Sim,Sem Sistema,Masculino,Santo Antônio da Barra,60 ou mais,Preta,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Cachorro,Própia,Aposentado,Santo Antônio da Barra,"De 1 até 3 (R$ 1.212,01 até 2.424,00)",Rádio,Casa Família/Amigos|Outros,Ônibus|Segurança|Saneamento,Alimentação balanceada|Bebe água,Parque/Praça|Pista de Caminhada|Outro,Calçada/Lixeira,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,Carro,5 - muito satisfeito,4 - satisfeito,Canteiro Inadequado
